TXT003,TXT012,TXT013,TXT014,TXT015,TXT016,TXT017,TXT018,TXT019,TXT020,TXT021,TXT022,TXT023,a1,a2,a3
30020,Inteligencia de negocios y modelado de datos multidimensional,Diseña e implementa un modelo dimensional para satisfacer un requerimiento de información específico en una organización.,3,Proceso de data warehousing,Construye una solución de inteligencia de negocios para satisfacer un requerimiento de información específico en una organización.,4,Visualización de datos,Construye un dashboard para explotación de la información y medición del desempeño de los procesos del negocio.,3,Minería de datos,Desarrolla un modelo de minería de datos que permita hacer predicciones respecto al comportamiento futuro de una actividad en una organización.,4.0,,,
30021,Peso de elementos básicos,"Asocia el Graph Editor con las curvas de animación para desarrollar los principios básicos de animación y el concepto de energía, mediante los rigs de pelotas.",4,Desfases y Arrastre,"Aplica el principio de overlapping, utilizando poses claves y arcos en los rigs de una cadena y una pelota con cola mientras estos se encuentran en movimiento y llegan al reposo",3,Mecánicas Básicas,"Crea animaciones usando rigs básicos que transmitan la elasticidad mediante el uso del squash y stretch, así como movimientos claros en una caminata a través de poses, trayectorias y arcos.",4,Comportamientos Motriz,"Aplica el análisis mediante la observación y grabación de sus videos referencias, así como la ejecución del equilibrio y balance en la relación caderas – piernas en el movimiento del rig.",3.0,,,
30022,Mecánicas del cuerpo,Anima una caminata con estilo haciendo uso del estudio de referencias y aplicando la animación por fases.,3,Levantamiento de peso,"Realiza el análisis de una referencia, comparando los estilos de animación cartoon y realista. Utiliza la silueta y línea de acción para exagerar los movimientos. Ejecuta la animación haciendo uso de los sistemas Fk/Ik del personaje.",4,Body acting,"Realiza la toma animada de un personaje con expresión corporal y pantomima, incorporando los elementos de puesta en escena, lenguaje de cámara e interacción.",4,Animación facial,"Realiza la animación facial del personaje, dándole expresión que permitan transmitir las emociones del personaje. Crea distintos diálogos y los sincroniza con el audio de un clip.",3.0,,,
30023,Introducción a la animación,Utilizar los principios básicos de la animación para desarrollar habilidades creativas y narrativas en el mundo animado.,4,Animación de personajes,"Diseñar y desarrollar personajes animados que expresen emociones, narrativas y personalidades únicas a través del movimiento y la actuación.",3,Composición y locomoción,Experimentar y utilizar técnicas de composición y locomoción para crear imágenes y movimientos convincentes en la animación,4,Leyes de la física en la animación,Aplicar las leyes de la física para simular movimientos creíbles en la animación.,3.0,,,
30024,Plataforma de desarrollo de Android,"Construye la interfaz de usuario de una aplicación Android usando activities, mostrando los datos en listas y cuadrículas, y gestionando los eventos del usuario.",4,Fragments y servicios,"Implementa la navegación en una aplicación mediante el uso de fragments, y desarrolla un servicio definiendo el contexto en el que debe utilizarse.",3,Persistencia de datos y conectividad a servicios,"Construye arquitecturas que le permiten conectar una aplicación móvil a servicios web REST, y aplica e integra el uso de Google Maps y Geolocalización.",4,Edición y uso de elementos audiovisuales,Utiliza los diferentes elementos multimedia y sensores disponibles en un dispositivo Android. Publica y gestiona aplicaciones en la tienda de Google Play.,3.0,,,
30025,Plataforma IOS,Explica la funcionalidad de la plataforma y entorno de desarrollo de IOS. Construye interfaces y maneja los eventos de usuario.,4,Recolección y persistencia de datos,Abstrae y aplica el concepto de colección de datos construyendo tablas personalizadas y aplicando la comunicación entre clases mediante protocolos y delegados.,3,Arquitectura y sincronización de datos,Identifica las distintas opciones de sincronía de datos y las aplica construyendo arquitecturas que le permiten conectar una aplicación móvil a servicios web REST.,3,Geolocalización y gestión de aplicaciones,Aplica e integra en una aplicación el uso de mapas y geolocalización. Comprende y utiliza el entorno para la publicación y gestión de aplicaciones en la tienda App Store de Apple.,4.0,,,
30026,Principios de interacción y experiencia de usuario,Interpreta patrones de comportamiento del usuario y propone alternativas y soluciones frente a las situaciones de demanda.,4,Diseño centrado en el usuario,Elabora el flujo de experiencia de un usuario a través de métodos de investigación y diseño UX.,3,Arquitectura de la información,"Diseña interfaces web, aplicando los conceptos de arquitectura de la información.",4,Interacción en diferentes dispositivos,"Diseña sitios web legibles y adaptables, teniendo en cuenta las necesidades del usuario.",3.0,,,
30028,Métodos de cocción por expansión,"Reconoce las técnicas de elaboración, según los métodos de cocción por expansión y concentración.",4,Métodos de cocción por concentración I,"Analiza las técnicas de elaboración según los métodos de cocción por expansión, concentración y cocción mixta.",3,Métodos de cocción por concentración II,Analiza las técnicas de elaboración según los métodos de cocción mixtos.,4,Método de cocción mixto,Analiza las técnicas de elaboración de según los métodos de cocción mixtos.,3.0,,,
30029,Introducción al proceso de producción audiovisual,Analiza los fundamentos del audiovisual reconociendo los elementos del lenguaje mediante la visualización de videos y la puesta en práctica.,4,El Storyboard en la propuesta narrativa.,"Maneja la herramienta de Storyboard, su realización y finalidad, creando composiciones con los diferentes formatos de video.",3,Animación tipográfica con sustento en un Storyboard.,"Reconoce las herramientas elementales para una composición avanzada en dos dimensiones, introduciendo a sus conocimientos la idea y manejo del entorno 3D.",3,Animación y ritmo audiovisual,Maneja la herramienta de animación comprendiendo las diferencias entre animación 2D y entorno 3D.,4.0,,,
30031,Gestión de producto,Gestiona líneas y categorías de productos en distintos tipos de empresa.,4,Decisiones previas al lanzamiento de productos,Identifica las etapas del ciclo de vida del producto y aplica las propuestas necesarias en cada una de ellas.,3,Desarrollo y lanzamiento de nuevos productos,Aplica el proceso de desarrollo de un nuevo producto para diferentes mercados utilizando las herramientas del marketing mix.,3,Branding y diseño de marca,Desarrolla la marca de un producto en función a los objetivos empresariales.,4.0,,,
30032,Fundamentos de pruebas de software,"Define y administra un proceso de pruebas de software reconociendo los paradigmas de pruebas, roles, modelo de madurez del proceso.",4,Técnicas de pruebas,"Aplica métodos y técnicas de pruebas de software que permiten optimizar los procesos de detección, análisis, seguimiento y depuración de errores durante el desarrollo de software.",6,Gestión del proceso de pruebas y herramientas de prueba,Aplica sistemáticamente los distintos métodos de selección y elaboración de casos de prueba para alcanzar una cobertura confiable de pruebas del software.,4,,,,,,
30033,Configuración básica de Switches y dispositivos finales,Configura la comunicación entre host y switches aplicando direccionamiento básico IPv4.,3,Interconexión de redes,Aplica configuración básica de routers y switches para interconectar dispositivos finales e intermediarios.,4,Direccionamiento IPv4 e IPv6,Configura y verifica direccionamiento IPv4/IPv6 en dispositivos intermediarios y finales.,3,Construyendo una pequeña red segura y escalar.,"implementa una red pequeña aplicando direcciones IPv4/IPv6, seguridad básica y escalabilidad.",4.0,,,
30034,"Conceptos de Switching, VLANs y enrutamiento entre redes VLAN",Segmenta la red empresarial mediante la implantación de VLANs y enrutamiento entre VLANs.,3,"Redes Redundantes, Disponibles y Confiables","Crea redes empresariales confiables implementando funciones de redundancia y disponibilidad mediante STP, EtherChannel y configuración del direccionamiento IP.",4,Seguridad de L2 y WLAN,Protege la red empresarial implementando mecanismos de seguridad que permitan mitigar ataques de capa 2.,4,Conceptos y configuración de enrutamiento,"Configurar enrutamiento hacia redes remotas aplicando rutas estáticas, predeterminadas y flotantes.",3.0,,,
30035,Configuración de OSPF en área única,Configurar enrutamiento OSPF en redes IPv4 de área única.,3,Seguridad de infraestructura de red,Determina el tráfico que ingresa o egresa de la red aplicando listas de control de acceso.,4,Servicios de gestión de red,Administra las operaciones de mantenimiento y monitoreo de red aplicando buenas prácticas.,4,Virtualización y automatización,Describe los métodos de virtualización y automatización en infraestructura de redes.,3.0,,,
30036,Enrutamiento EIGRP Avanzado,Configura el protocolo de enrutamiento EIGRP en entornos IPv4/IPv6 aplicando procedimientos de optimización y filtrado de actualizaciones.,3,Enrutamiento OSPF,Configura el protocolo OSPF con múltiples áreas en entornos IPv4/IPv6 aplicando procedimientos de optimización y filtrado de actualizaciones.,4,Enrutamiento BGP,Configura el protocolo BGP entre la red empresarial y la red de proveedor de servicios aplicando procedimientos de optimización y determinación de ruta.,4,Redistribución y Políticas de enrutamiento,"Configura redistribución y políticas de enrutamiento entre protocolos de enrutamiento EIGRP, OSPF y BGP.",3.0,,,
30037,Tecnologías de firewall y sistemas de prevención de intrusiones,Implementa tecnologías de firewall e IPS para asegurar la red perimetral y mitigar ataques a la red.,5,Asegurando la red de área local,Asegura los dispositivos finales contra ataques comunes de capa 2.,3,Redes privadas virtuales,"Asegura la comunicación para garantizar la identidad, integridad, confidencialidad mediante la implementación de redes privadas virtuales seguras.",4,Verificación de la seguridad de la red,"Asegura la comunicación para garantizar la identidad, integridad, confidencialidad mediante la implementación de redes privadas virtuales seguras.",2.0,,,
30038,Principios de la nube,Reconoce y analiza los elementos y componentes de la computación en la nube así como sus beneficios y limitaciones.,4,Implementación y gestión de la nube,Define y describe los principios de la gestión de servicios en la nube así como los principales proveedores de nube.,3,Usando la Nube,Reconoce y analiza los procesos comerciales y desafíos de los proveedores de servicios de nube.,3,"Seguridad, identidad, privacidad y evaluación de la computación en la nube",Reconoce y analiza los aspectos relevantes de la seguridad y privacidad de los datos en la nube.,4.0,,,
30039,Fundamentos de coaching,Identifica al coaching y sus diversos tópicos como una herramienta actual para la gestión de personas y equipos.,4,Factores relevantes del coaching,Reconoce los factores claves a tener en cuenta para poder realizar una labor de coaching óptima y eficiente.,3,Herramientas de desarrollo e implementación del coaching personal,"Aplica las herramientas básicas del coaching para sí mismo, diseñando un plan de desarrollo personal.",3,Coaching ejecutivo dirigido,"Diseña una propuesta de desarrollo para un equipo de ejecutivos comerciales, a través del coaching.",4.0,,,
30041,Introducción a la autoestima,"Analiza, explora e identifica sus competencias personales.",3,Escalera de la autoestima,"Analiza sus fortalezas y debilidades en diferentes contextos: personal, social y profesional.",4,Inteligencia emocional e influencia social,"Utiliza la inteligencia emocional para comunicarse y relacionarse adecuadamente en diferentes ámbitos personales y sociales, a través del análisis de la información.",4,Adaptación al cambio,Utiliza estrategias que facilitan su adaptación al cambio en diferentes ámbitos personales y sociales.,3.0,,,
30042,Comportamiento del consumidor hoy,Reconoce los componentes de los procesos de toma de decisiones del consumidor para su uso en el diseño de una estrategia de marketing.,4,"Las actitudes, familia y grupos",Analiza la influencia de la familia y grupos sobre la toma de decisiones del consumidor.,3,Influencia de factores sociales,Analiza la influencia de los factores sociales sobre la toma de decisiones del consumidor.,3,"Globalización, cultura y consumo",Analiza la influencia de los factores culturales sobre la toma de decisiones del consumidor.,4.0,,,
30043,Introducción al software Foundry Nuke y al método de composición por nodos,Aplica las herramientas iniciales de composición del software Foundry Nuke en la elaboración de un flujo de trabajo de postproducción.,2,Principales nodos de modificación y composición,Utiliza diferentes herramientas del software Foundry Nuke en una variedad de proyectos de integración de imágenes virtuales y reales,6,Nodos de creación y edición de geometría 3D,"Emplea las herramientas de manipulación de geometría 3D, en diversos ejercicios de composición digital.",3,Aplicación de herramientas en un proyecto final,"Construye un producto de composición digital, considerando la correcta manera de integrar objetos virtuales con secuencias de video reales.",3.0,,,
30044,Áreas de intervención de la comunicación externa,Define con precisión los ámbitos de acción de la comunicación externa para el reconocimiento de la organización y la protección de su reputación.,3,Identificación de audiencias externas y de mecanismos de interacción,Determina las audiencias externas de una organización y establece los mecanismos óptimos para la comunicación con estas audiencias.,4,Gestión de crisis,Aplica la metodología de gestión de crisis para enfrentar situaciones críticas para la organización.,4,Reputación corporativa,"Identifica el valor de la reputación corporativa, definiendo claramente los factores que la determinan.",3.0,,,
30045,Comunicación online,Aplica los principios de la comunicación en medios digitales.,4,Creación de contenidos para web,Aprende sobre las nociones para crear contenidos en sitios web,3,Herramientas y plataformas para crear contenidos,Aprende sobre las diferentes herramientas y plataformas para crear contenidos en redes sociales y boletines.,3,Plan de contenidos en la comunicación digital,Diseña y ejecuta un plan de contenidos viral y evalúa su impacto.,4.0,,,
30046,Desarrollo sostenible y sus campos de acción,Analiza los ámbitos de acción del desarrollo sostenible y su impacto en la sociedad.,4,Modelo de comunicación participativa,Establece los lineamientos necesarios para generar una solución comunicacional para el desarrollo sostenible que involucre al grupo objetivo dentro del mismo proceso de comunicación.,3,Marketing social,Identifica con precisión las características específicas del marketing social y sus diferencias con el marketing comercial.,3,Programas y proyectos de comunicación para el desarrollo sostenible,Diseña una solución integral de comunicación que respalde una iniciativa de desarrollo sostenible.,4.0,,,
30047,Contexto discursivo,"Analiza e interpreta situaciones comunicativas, y construye enunciados adecuados al contexto discursivo considerando los factores que inciden en la comunicación",3,Redacción de párrafos: cohesión textual,Utiliza los recursos de cohesión en la producción de párrafos.,4,Redacción de párrafos: la coherencia,"Selecciona, organiza, jerarquiza la información para producir párrafos estructurados y coherentes.",3,Producción de textos,Planifica y produce textos aplicando diferentes secuencias textuales.,4.0,,,
30049,Estrategias de comunicación y marca,Determina objetivos relevantes para la estrategia de comunicación de una marca en función al análisis de su situación y sus componentes particulares.,4,Herramientas Publicitarias: El Mensaje,Identifica los elementos para la generación de un mensaje acorde a los objetivos de comunicación.,3,Herramientas de Medios,"Identifica las ventajas y desventajas de cada medio para realizar una campaña, y los mecanismos con los cuáles estos son medidos.",3,Herramientas Promocionales y Campañas 360,"Planifica una campaña de comunicación 360, siguiendo el proceso formal, e incorporando herramientas adicionales como el punto de venta, base de datos y la comunicación interna.",4.0,,,
30050,El guion,"Identifica el guión como medio para la realización de una obra audiovisual, comprendiendo su función en el proceso de producción.",3,Los personajes,"Desarrolla un relato con coherencia,siguiendo una lógica causal y de progresión creciente, identificando a los personajes de la historia.",4,El relato y sus características,Articula diversos relatos para conformar un universo narrativo coherente.,3,Lenguaje audiovisual y venta de proyecto.,Reconoce la morfología de la comunicación audiovisual y la venta de un proyecto audiovisual.,4.0,,,
30051,Marco general de la contabilidad gerencial y los estados financieros,"Reconoce los estados financieros y sus cuentas principales en los diferentes sectores empresariales, así como la importancia para la toma de decisiones.",3,Recursos y fuentes de financiamiento,Analiza las diversas fuentes de financiamiento de una empresa para la obtención de sus recursos y reconoce de forma práctica cómo optimizar los resultados económicos.,4,Control interno de las operaciones,"Analiza las políticas, documentación y herramientas necesarias para el manejo del capital de trabajo, créditos y cobranzas e inversiones en activos, y reconoce de forma práctica cómo lograr un óptimo control interno.",3,Proyecciones de los estados financieros y flujos de dinero en la organización,"Analiza e interpreta las proyecciones de los estados financieros en base a los presupuestos y el flujo de caja, y determina cómo mejorar la gestión de la empresa.",4.0,,,
30052,Identificación y clasificación de los riesgos,"Identifica los principales aspectos relacionados con el riesgo y la actividad aseguradora que se presentan en toda operación de comercio exterior, con el propósito de proponer medidas eficientes para su mitigación.",4,"Riesgos comerciales, políticos y riesgo país","Identifica los riesgos que se generan por condiciones comerciales y políticas, así como por la situación general de un país.",3,Análisis de riesgos en operaciones de comercio exterior,"Identifica los riesgos financieros, y en general, aquellos que se presentan en el transporte internacional de mercancías; y propone las medidas más eficientes para su mitigación.",4,Presentación de propuestas para la reducción de riesgos,"Identifica los riesgos de índole técnico, especiales; y propone las medidas más eficientes para su mitigación, considerando sistemas alternativos para coberturarlos.",3.0,,,
30053,Identificación de los costos y gastos,Identifica los costos y gastos que se generan en las empresas de los diferentes sectores y su efecto en la gestión.,3,Operaciones de importación,"Analiza las operaciones de importación considerando los diversos desembolsos por concepto de aplicación de aranceles, impuestos y demás gastos que se generan en la adquisición de un bien del exterior.",4,Operaciones de exportación,Ejecuta las operaciones de exportación seleccionando los diversos desembolsos que se efectúan en la salida de un bien al exterior.,3,Estrategia de fijación de precios,Elabora estructuras de precios de importación o exportación de diversos productos considerando las condiciones del mercado y los convenios internacionales vigentes.,4.0,,,
30054,Fotogrametría y creación de UVS,Demuestra la aplicación de las diferentes técnicas y procesos en el modelado de diversos tipos de escenario exterior.,4,Modelado low-poly y pintado en Adobe Photoshop,Aplica las herramientas de curvas nurbs y polígonos en el modelado de diversos tipos de escenario interior.,3,Escultura de detalles en ZBrush,Aplica herramientas y técnicas en el esculpido y detallado de elementos de un escenario.,4,Displacement map y renderizado en Autodesk Maya con Arnold Render,Aplica las distintas herramientas en la edición de imágenes para el proceso de texturizado del escenario.,3.0,,,
30055,Definición y principios de la creatividad,"Comprende los aspectos fundamentales de la creatividad y sus alcances artísticos, cientificos, empresariales y humanos.",3,El profesional creativo y el proceso creativo,"Expone la anatomía física y mental de una persona creativa, y analiza las cualidades de cada etapa del proceso creativo evidenciando originalidad e indagación rigurosa.",4,Técnicas creativas,"Utiliza las técnicas de creatividad para resolver problemas concretos de forma original utilizando la generación de ideas, la ruptura de lo habitual y la evaluación de las ideas.",4,El concepto y el recurso creativo,"Define las diferencias del concepto y el recurso creativo, precisando la importancia de toda idea para construir mensajes claros, sencillos e impactantes.",3.0,,,
30056,Introducción a la creatividad digital,Conoce el funcionamiento de los códigos y lenguajes aplicados en las campañas de marketing y publicidad dentro ecosistema digital.,3,Herramientas y técnicas creativas digitales,Utiliza herramientas y técnicas creativas para la creación de propuestas y piezas que respondan a las estrategias planteadas.,4,Tipos de anuncios en plataformas digitales,"Conoce los formatos de publicidad y contenidos existentes en el ecosistema digital para conectar de manera oportuna, efectiva y clara con los consumidores actuales.",3,Nuevos espacios digitales para anunciar,"Conoce las nuevas opciones publicitarias en espacios de contenidos específicos como juegos, apps, entre otros.",4.0,,,
30057,La investigación en el proceso creativo,Demuestra los aportes de la investigación en el desarrollo de los procesos y propuestas creativas.,4,"El Insight, concepto y propuestas","Construye conceptos y propuestas originales, identificando con solvencia las verdades relevantes de las audiencias.",3,"Fundamentos del layout, branding y dirección de arte",Aplica en sus proyectos de comunicación los fundamentos del anuncio para hacer relevante su concepto creativo y persuadir a su audiencia.,4,Dirección gráfica integrada,Identifica conceptos básicos del cierre de proyectos y reconoce de forma práctica cómo lograr la conformidad del resultado del proyecto.,3.0,,,
